year,variable,value
1989,brate_blacknh,84.8
1990,brate_blacknh,89
1991,brate_blacknh,87
1992,brate_blacknh,84.5
1993,brate_blacknh,81.5
1994,brate_blacknh,77.5
1995,brate_blacknh,72.8
1996,brate_blacknh,70.7
1997,brate_blacknh,70.3
1998,brate_blacknh,70.9
1999,brate_blacknh,69.9
2000,brate_blacknh,71.4
2001,brate_blacknh,69.1
2002,brate_blacknh,67.5
2003,brate_blacknh,67.1
2004,brate_blacknh,67.1
2005,brate_blacknh,67.2
2006,brate_blacknh,70.7
2007,brate_blacknh,71.4
2008,brate_blacknh,70.8
2009,brate_blacknh,68.9
2010,brate_blacknh,66.6
2011,brate_blacknh,65.4
2012,brate_blacknh,65
2013,brate_blacknh,64.6
2014,brate_blacknh,64.5
2015,brate_blacknh,64.1
2016,brate_blacknh,63.3
2017,brate_blacknh,63.1
2018,brate_blacknh,62
2019,brate_blacknh,61.4
2020,brate_blacknh,59
1989,brate_whitenh,60.5
1990,brate_whitenh,62.8
1991,brate_whitenh,60.9
1992,brate_whitenh,60
1993,brate_whitenh,58.9
1994,brate_whitenh,58.2
1995,brate_whitenh,57.5
1996,brate_whitenh,57.1
1997,brate_whitenh,56.8
1998,brate_whitenh,57.6
1999,brate_whitenh,57.7
2000,brate_whitenh,58.5
2001,brate_whitenh,57.7
2002,brate_whitenh,57.6
2003,brate_whitenh,58.9
2004,brate_whitenh,58.9
2005,brate_whitenh,59
2006,brate_whitenh,60.3
2007,brate_whitenh,61
2008,brate_whitenh,60.5
2009,brate_whitenh,59.6
2010,brate_whitenh,58.7
2011,brate_whitenh,58.7
2012,brate_whitenh,58.6
2013,brate_whitenh,58.7
2014,brate_whitenh,59.5
2015,brate_whitenh,59.3
2016,brate_whitenh,58.8
2017,brate_whitenh,57.2
2018,brate_whitenh,56.3
2019,brate_whitenh,55.3
2020,brate_whitenh,53.2
1989,brate_hisp,104.9
1990,brate_hisp,107.7
1991,brate_hisp,106.9
1992,brate_hisp,106.1
1993,brate_hisp,103.3
1994,brate_hisp,100.7
1995,brate_hisp,98.8
1996,brate_hisp,97.5
1997,brate_hisp,94.2
1998,brate_hisp,93.2
1999,brate_hisp,93
2000,brate_hisp,95.9
2001,brate_hisp,95.4
2002,brate_hisp,94.7
2003,brate_hisp,95.2
2004,brate_hisp,95.7
2005,brate_hisp,96.4
2006,brate_hisp,98.3
2007,brate_hisp,97.4
2008,brate_hisp,92.7
2009,brate_hisp,86.5
2010,brate_hisp,80.2
2011,brate_hisp,76.2
2012,brate_hisp,74.4
2013,brate_hisp,72.9
2014,brate_hisp,72.1
2015,brate_hisp,71.7
2016,brate_hisp,70.6
2017,brate_hisp,67.6
2018,brate_hisp,65.9
2019,brate_hisp,65.3
2020,brate_hisp,62.8
